Varenummer;Varegruppenavn;Varenavn;Pris;Beholdning;Vaegt;Modelbetegnelse;EAN nummer;Producentnavn;Leveringstid
994913081;Hardware;DeLock External USB 3.1 Hub 4 Port 10 Gbps ;35.82;0;0.33;64053;4043619640539;DeLOCK;4
994895961;Hardware;DeLOCK Passive  Adapter Set RJ45 DC 5.5 x 2.1 mm ;6.66;0;0.06;66023;4043619660230;DeLOCK;4
993869362;;Schleich bayala 70573 Decorated Unicorn, Mare;9.66;0;0.17;70573;4055744021947;Schleich;5
994889051;Hardware;Delock Stainless Steel Cable Ties L 400 x W 4.6 mm black 10 pieces;3.25;0;0.05;18811;4043619188116;DeLOCK;4
994886669;Hardware;Delock Stainless Steel Cable Ties L 500 x W 7.9 mm red 10 pieces;4.91;0;0.1;18784;4043619187843;DeLOCK;4
993869348;;Schleich Bayala Geflügeltes Regenbogene. | 70576;10.04;0;0.25;70576;4055744020421;Schleich;5
994878242;Hardware;DeLOCK PCI Express x1 Card for 2 x SATA HDD / SSD Lagringskontrol ;38.86;0;0.17;90348;4043619903481;DeLOCK;4
994930940;Hardware;DeLOCK USB-kabel 15cm Hvid ;2.74;0;0.01;85352;4043619853526;DeLOCK;4
994798703;;Lenco BMC-090 pink;28.72;0;0;BMC-090PINK;8711902042136;Lenco;5
994608665;Hardware;ZTE Blade V10 ;156.39;0;0;BLADE V10 BLACK;6902176033971;ZTE;5
994886678;Hardware;Delock Stainless Steel Cable Ties L 200 x W 4.6 mm blue 10 pieces;2.54;0;0.03;18793;4043619187935;DeLOCK;4
994906798;Hardware;Delock Dust Cover for RJ45 jack 10 pieces yellow;2.29;0;0.02;86511;4043619865116;DeLOCK;4
994891527;Hardware;DeLOCK ;4.76;0;0.17;85804;4043619858040;DeLOCK;4
992467932;Hjem & Hobby;Nilfisk C 120.7-6 PCAD;99.42;0;6.7;128471010;5715492181452;Nilfisk-Advance;5
994762253;Hardware;LG 34WK95C-W 34 3440 x 1440 HDMI DisplayPort USB-C 60Hz;730.02;0;0;34WK95C-B;8806098251377;LG Electronics;5
994857641;Hardware;DeLOCK 3-PIN intern spænding (male) - 3-PIN intern spænding (female) Sort Rød Gul 60cm;2.39;0;0.01;85752;4043619857524;DeLOCK;4
993869485;;Schleich Horse Club 42431 Sofias Fashion Creation;7.36;0;0.23;42431;4055744021817;Schleich;5
993425542;;Camgloss UV/Protect 77 DIGITAL FILTER Slim;7.57;0;0;C8034892;4019518034892;Top3 GmbH & Co.KG;5
994796648;Hardware;DeLOCK Adapter Sub-D 9 pin female to RJ45 female Assembly Kit Seriel adapter Sort ;2.44;0;0.02;66165;4043619661657;DeLOCK;4
993538775;;Sony XAV-AX1000;197.53;0;1.84;XAVAX1000.EUR;4548736080911;Sony;5
994820123;Hardware;DeLOCK Audiokabel Sort 20cm ;2.14;0;0.02;85806;4043619858064;DeLOCK;4
994889045;Hardware;Delock Stainless Steel Cable Ties L 200 x W 7.9 mm green 10 pieces;3.25;0;0.05;18805;4043619188055;DeLOCK;4
994399769;;Spigen Liquid Crystal for P20 crystal clear;9.72;0;0;SP-L21CS23081;8809565307362;Spigen;5
994888968;;Lenco DVL-240 black;126.84;0;0;DVL240;8711902039389;Lenco;5
994150521;Hjem & Hobby;Sigg Water Bottle alu Traveller 0,6L black;13.26;0;0.11;8327.30;7610465832738;Sigg;5
994857684;Hardware;Delock Cable Ties with label tap L 180 x W 2.5 mm 10 pieces assorted colors;4.81;0;0.05;18825;4043619188253;DeLOCK;4
994886672;Hardware;Delock Stainless Steel Cable Ties L 400 x W 4.6 mm yellow 10 pieces;3.25;0;0.05;18787;4043619187874;DeLOCK;4
994929629;Hardware;DeLOCK HDMI med Ethernet-kabel HDMI 1.5m Sort ;8.42;0;0.1;85216;4043619852161;DeLOCK;4
987702790;Hjem & Hobby;Dewa Kreuzlinienlaser DW 088 K bk;105.63;0;2.3;DW088K-XJ;5035048338575;DeWALT;5
994884591;Hardware;DeLOCK USB Type-C Card Reader for C 2.0 memory cards Kortadapter USB-C ;25.64;0;0.06;91745;4043619917457;DeLOCK;4
992835668;Hardware;D-Link DGS 1005D Switch 5-porte Gigabit;13.2;0;0;DGS-10058D/E;0790069252686;D-Link;5
994857687;Hardware;Delock Silicone Cable Ties reusable 10 pieces assorted colors;4.4;0;0.02;18828;4043619188284;DeLOCK;4
994808905;Hardware;HP LaserJet Pro MFP M428fdw Laser;318.22;0;12.6;W1A30A;0192018915053;Hewlett-Packard;3
993785132;Hardware;Sage Waffle Maker The Smart Waffle;136.44;2;0;SWM620BSS4EEU1;9312432029988;Sage;0
994850571;Hardware;Delock Terminal block for PCB soldering version 2 pin 9.50 mm pitch vertical 10 pieces;3.25;0;0.06;66021;4043619660216;DeLOCK;4
993759178;Hardware;Huawei Watch GT Classic 46.5 mm Sort Sølv Smart ur;128.02;2;0.046;WATCH GT BROWN;6901443262588;Huawei Technologies;0
993995551;Hardware;Ultimate Ears BOOM 3 Sort Højttaler;81.22;0;0.608;984-001360;5099206080287;Ultimate Ears;4
994759860;;Schleich Horse Club Rocky Mount.H-Stute | 42469;8.5;0;0.15;42469;4055744030123;Schleich;5
994921208;Hardware;DeLOCK Cable holder kit ;3.3;0;0.02;18296;4043619182961;DeLOCK;4
993701142;Hardware;Samsung externer Akku 10.000 mAh Schnellladef., USB Typ C/Micro USB Adap. pink;16.18;0;0.27;EB-P1100BPEGWW;8801643550738;Samsung;3
994886675;Hardware;Delock Stainless Steel Cable Ties L 300 x W 7.9 mm yellow 10 pieces;3.75;0;0.07;18790;4043619187904;DeLOCK;4
993706858;Hardware;Ricoh WG-60 schwarz;174.2;3;0;3826;0027075300859;Ricoh;0
994850568;Hardware;Delock Terminal block for PCB soldering version 3 pin 5.00 mm pitch vertical 10 pieces;3.35;0;0.05;66018;4043619660186;DeLOCK;4
993869437;;Schleich Farm W. Spielteppich Bauernhof | 42442;19.56;0;1.59;42442;4055744025129;Schleich;5
994850557;Hardware;Delock Terminal block for PCB soldering version 2 pin 5.00 mm pitch vertical 10 pieces;2.8;0;0.03;66007;4043619660070;DeLOCK;4
993214173;;LEGO Speed Champions 75886 Ferrari 488 GT3 Scuderia Corsa;11.11;0;0.2;75886;5702016110227;LEGO;0
994854341;Hardware;DeLOCK LPWAN Antenna MHF I plug 0.96 dBi 1.13 15 cm PCB internal self adhesive ;5.36;0;0.01;12613;4043619126132;DeLOCK;4
994882857;Hardware;DeLOCK Modular indlæg;4.1;0;0.02;86385;4043619863853;DeLOCK;4
993943841;Hardware;LG 27UK650-W 27 3840 x 2160 HDMI DisplayPort 60Hz Pivot Skærm;312.7;0;4.9;27UK650W;8806098110254;LG Electronics;5
994741552;Mobiler, Telefoni & Navigation;1x2 Polaroid Color Filme für I-type;21.86;0;0;004836;9120066088741;Polaroid Originals;5
994886684;Hardware;Delock Stainless Steel Cable Ties L 400 x W 7.9 mm blue 10 pieces;4.35;0;0.09;18799;4043619187997;DeLOCK;4
994929627;Hardware;DeLock External USB 3.1 2 Port Type-A and USB Type-C 10 Gbps ;49.97;0;0.28;64054;4043619640546;DeLOCK;4
994906796;Hardware;Delock Dust Cover for RJ45 jack 10 pieces blue;2.29;0;0.02;86509;4043619865093;DeLOCK;4
994883212;Hardware;DeLOCK Dockingstation ;65.45;0;0.18;87735;4043619877355;DeLOCK;4
993545668;;Pioneer TS-A4670F;49.47;0;0;1025912;0884938402941;Pioneer;5
993411316;;Delock PCI Express Card > 3 x external FireWire B + 1 x internal FireWire A;33.86;0;0.12;89864;4043619898640;DeLOCK;0
993935680;Hardware;TP-Link Omada EAP110 300Mbps;26.06;0;0;EAP110 AURANET;6935364091620;TP-LINK Technologies;5
994850560;Hardware;Delock Terminalblock fÃ¼r Platine LÃ¶tversion 3 Pin 5,08 mm RastermaÃ vertikal 10 StÃ¼ck;3.35;0;0.04;66010;4043619660100;DeLOCK;4
994850554;Hardware;Delock Terminal block for PCB soldering version 3 pin 5.00 mm pitch vertical 10 pieces;2.8;0;0.02;65997;4043619659975;DeLOCK;4
994923787;Hardware;DeLOCK Audio-kønsskifter Sort;4.45;0;0.01;65996;4043619659968;DeLOCK;4
994891530;Hardware;DeLOCK Lagringskontrol ;66.22;0;0.21;90391;4043619903917;DeLOCK;4
994930938;Hardware;DeLOCK HDMI med Ethernet-kabel HDMI 2m Sort ;8.88;0;0.11;85217;4043619852178;DeLOCK;4
994908490;Mobiler, Telefoni & Navigation;Logitech Gaming Headset G433 Kabling Blå Headset;61.87;1;0.259;4768675;5099206074026;Logitech;0
994886664;Hardware;Delock Stainless Steel Cable Ties L 400 x W 4.6 mm red 10 pieces;3.25;0;0.05;18779;4043619187799;DeLOCK;4
994923790;Hardware;DeLOCK Forlængerkabel til audio Sort 2m;7.34;0;0.08;85792;4043619857920;DeLOCK;4
994767560;Hardware;DeLOCK 3 Port USB Hub and HDMI output USB Type-C connection PD Dockingstation ;30.84;0;0.08;64062;4043619640621;DeLOCK;4
994857513;Hardware;DeLOCK LTE Antenna ;8.83;0;0.08;12583;4043619125838;DeLOCK;4
994798701;;Lenco BMC-090 black;28.72;0;0;BMC-090BLACK;8711902042105;Lenco;5
993432421;Hjem & Hobby;Philips Trimmer BG3015 ;28.74;0;0;BG3015/15;8710103843788;Philips;8
993869460;;Schleich Reiterhof m. Reiterin u Pferden | 42344;68.6;0;0;42344;4055744005602;Schleich;5
993218888;Hjem & Hobby;Grun Bügeleisen ST5550 wh/bu;29.23;0;0.95;GMN7040;4013833011149;Grundig International;5
994875005;Hardware;DeLOCK USB Type-C for 4 x SATA HDD / SSD HDD dockingstation ;105.03;0;1.05;63930;4043619639304;DeLOCK;4
994063340;Hjem & Hobby;BRAUN Hårfjernelses-system PL 3012;179.23;0;0;211099;4210201211099;Braun;5
994886687;Hardware;Delock Stainless Steel Cable Ties L 300 x W 4.6 mm green 10 pieces;2.9;0;0.04;18802;4043619188024;DeLOCK;4
994720708;Mobiler, Telefoni & Navigation;NIN amiibo Pokémon-Trainer;13.41;0;0.09;10001810;0045493808092;Nintendo;5
994889063;Hardware;Delock Stainless Steel Cable Ties L 400 x W 7.9 mm white 10 pieces;4.35;0;0.09;18823;4043619188239;DeLOCK;4
994818435;Hardware;HP Officejet Pro 9012 All-in-One Blækprinter;151.17;1;8.95;1KR50B;0193424191376;Hewlett-Packard;0
994889057;Hardware;Delock Stainless Steel Cable Ties L 200 x W 4.6 mm white 10 pieces;2.54;0;0.03;18817;4043619188178;DeLOCK;4
994891533;Hardware;DeLOCK Styreenhed til lagring (RAID) ;19.35;0;0.08;95264;4043619952649;DeLOCK;4
994886673;Hardware;Delock Stainless Steel Cable Ties L 500 x W 4.6 mm yellow 10 pieces;3.6;0;0.06;18788;4043619187881;DeLOCK;4
994923785;Hardware;DeLOCK Audio-kønsskifter Sort;4.35;0;0.01;65994;4043619659944;DeLOCK;4
992947087;Hjem & Hobby;Beurer Hårtørrer HC 55;26.65;1;0.95;58621;4211125586218;Beurer;0
994921211;Hardware;DeLOCK Kabelklemmer ;3.9;0;0.05;18299;4043619182992;DeLOCK;4
994767558;Hardware;DeLock 4 Port USB 3.1 Gen 1 Hub USB Type-C Connection and USB Type-C PD ;27.53;0;0.09;64044;4043619640447;DeLOCK;4
993869363;;Schleich bayala 70575 Decorated Unicorn Pegasus, Foal;9.66;0;0.25;70574;4055744021954;Schleich;5
993308987;Mobiler, Telefoni & Navigation;Fujifilm instax mini Film;7.9;0;0;16567816;4547410364859;Fujifilm;4
994635971;;AgfaPhoto LeBox Wedding;6.03;2;0;601025;4250255103810;AgfaPhoto;0
994923793;Hardware;DeLOCK Forlængerkabel til audio Sort 0.5m;6.73;0;0.03;85795;4043619857951;DeLOCK;4
994857518;Hardware;Delock Antenna base M6 with connection cable RG-58 C/U 3 m SMA plug black;13.35;0;0.2;12589;4043619125890;DeLOCK;4
994921214;Hardware;DeLOCK Cable holder clip kit ;3.9;0;0.03;18302;4043619183029;DeLOCK;4
994878243;Hardware;DeLOCK PCI Express x1 Card for 2 x SATA HDD / SSD Lagringskontrol ;36.76;0;0.15;90349;4043619903498;DeLOCK;4
994857688;Hardware;Delock Silicone Cable Ties reusable 10 pieces assorted colors;4.4;0;0.02;18829;4043619188291;DeLOCK;4
993785112;;Sage Espresso machine The Oracle Touch;1641.36;0;19;SES990BSS4EEU1;9312432029810;Sage;5
994886667;Hardware;Delock Stainless Steel Cable Ties L 300 x W 7.9 mm red 10 pieces;3.75;0;0.07;18782;4043619187829;DeLOCK;4
994789836;Hardware;DeLOCK CAT 5e Ikke afskærmet 30cm Forlængerkabel til netværk;6.26;0;0.07;85803;4043619858033;DeLOCK;4
994889060;Hardware;Delock Stainless Steel Cable Ties L 500 x W 4.6 mm white 10 pieces;3.6;0;0.06;18820;4043619188208;DeLOCK;4
993669604;;BL1840 Akku 18V / 4.0AH Li-Ion;51.75;0;0.75;BL1840;0088381426763;Makita;5
994857642;Hardware;DeLOCK 3-PIN intern spænding (male) - 3-PIN intern spænding (female) Sort Rød Gul 30cm;1.76;0;0.01;85753;4043619857531;DeLOCK;4
992513110;Hardware;LevelOne WGR-8031 1200Mbps 4-port switch;16.3;0;0.48;WGR-8031;4015867199374;LevelOne;3
993534994;Hardware;Intenso High Speed Line 128GB ;27.38;0;0.02;3537491;4034303026876;Intenso;5
994912970;Hardware;DeLock Netværksadapter PCIe Half Mini Card;12.8;0;0.11;95265;4043619952656;DeLOCK;4
994929630;Hardware;DeLOCK ;71.09;0;0.17;87683;4043619876839;DeLOCK;4
992738328;;LEGO Minecraft - The Crafting Box 2.0 (21135);44.05;0;1.43;21135;5702015865197;LEGO;4
993869469;;Schleich Mobile Tierärztin mit Han. Foh. | 42370;26.58;0;1.1;42370;4055744013850;Schleich;5
993520227;;DeWalt DW033 Laser-Entfernungsmesser 30M;29.13;0;0;DW033;5035048657676;DeWALT;5
994847045;;Schleich Eldrador Eis Greif | 70143;12.48;0;0.28;70143;4055744029998;Schleich;5
994792521;Hardware;DeLock ;55.17;0;0.35;63977;4043619639779;DeLOCK;4
994885820;Hardware;JBL Clip 3 Grøn Højttaler;39.99;0;0.22;JBLClip3green;6925281933080;JBL;5
993396890;;JBL T460BT black;35.67;1;0.4;JBLT460BTBLK;6925281926167;JBL;0
993869352;;Schleich bayala 70572, BlÃ¥, LyserÃ¸d, Hvid, 3 Ãr, Pige, Dyr, EnhjÃ¸rning, 1 stk;5.63;0;0.06;70572;4055744020414;Schleich;5
992777212;Hardware;Logitech M220 Silent Optisk Trådløs Sort Blå;12.72;0;0.075;M220 BLAU;5099206066205;Logitech;5
993869438;;Schleich FarmW. Bauernhaus m. Stall u.Ti | 42407;53.52;0;3.23;42407;4055744021060;Schleich;5
994897064;Hardware;DeLock Seriel adapter USB 2.0 921.6Kbps ;19.01;0;0.13;64055;4043619640553;DeLOCK;4
994808906;Hardware;HP Color LaserJet Pro MFP M479fdn Laser ;361.29;0;23.4;W1A79A;0192018996779;Hewlett-Packard;5
993557657;Hardware;NIN Pokéball Plus;38.7;3;0.065;2513066;0045496430832;Nintendo;0
994033199;;Omnitronic DD-2520 black;168.58;0;0;9270022;4026397295009;Omnitronic Showequipment;5
992753640;Hardware;Grundig DSB 950 ;50.56;0;0;GLR6521;4013833017448;Grundig International;5
994921212;Hardware;DeLOCK Cable holder kit ;4.2;0;0.04;18300;4043619183005;DeLOCK;4
993255917;;Vtech Switch & Go Dinos Therizinosaurus | 80-195004;16.75;0;0.55;80-195004;3417761950043;VTech Holdings;5
993869515;;Schleich Pferde Waschplatz | 42104;14.06;2;0.41;42104;4005086421042;Schleich;0
993480731;;Delock Stereo Jack Extension Cable 3.5 mm 3 pin male to female 5 m white;3.68;0;0.1;85591;4043619855919;DeLOCK;4
994396263;Mobiler, Telefoni & Navigation;NIN amiibo Ken - Super Smash Bros. Colle;13.41;0;0.09;10001256;0045496380755;Nintendo;5
991794919;Hjem & Hobby;Oral-B Tandbørste Disney Frozen;17.53;0;0;154624;4210201154624;Braun;5
994812384;Hardware;Garmin Varia ;108.71;1;0.13;010-01673-00;0753759168872;Garmin;0
994886679;Hardware;Delock Stainless Steel Cable Ties L 300 x W 4.6 mm blue 10 pieces;2.9;0;0.04;18794;4043619187942;DeLOCK;4
994895962;Hardware;DeLOCK Passive  Adapter Set RJ45 DC 5.5 x 2.5 mm ;6.66;0;0.06;66024;4043619660247;DeLOCK;4
993869452;;Schleich Farm World Pony Agility Trainin | 42481;21.29;0;0;42481;4055744029875;Schleich;5
994875006;Hardware;DeLOCK USB 3.0 for 4 x SATA HDD / SSD Clone Function HDD dockingstation ;113.32;0;1.07;64063;4043619640638;DeLOCK;4
994886668;Hardware;Delock Stainless Steel Cable Ties L 400 x W 7.9 mm red 10 pieces;4.35;0;0.09;18783;4043619187836;DeLOCK;4
992602574;Hardware;DeLOCK Flushmonterings adapter Sort;2;0;0.05;62870;4043619628704;DeLOCK;4
994886688;Hardware;Delock Stainless Steel Cable Ties L 400 x W 4.6 mm green 10 pieces;3.25;0;0.05;18803;4043619188031;DeLOCK;4
994926558;Hardware;DeLock 2 Port USB 3.0 Hub and 3 Slot Card Reader USB Type-C Connection ;23.77;0;0.07;64064;4043619640645;DeLOCK;4
994891531;Hardware;DeLOCK Styreenhed til lagring (RAID) ;24.21;0;0.13;90392;4043619903924;DeLOCK;4
994923796;Hardware;DeLOCK Forlængerkabel til audio Sort 3m;9.2;0;0.12;85798;4043619857982;DeLOCK;4
993958970;Hardware;Dell UltraSharp U3219Q 32 3840 x 2160 HDMI DisplayPort USB-C 60Hz Pivot Skærm;735.9;0;0;210-AQUO;5397184092491;Dell;5
994850555;Hardware;Delock Terminal block for PCB soldering version 2 pin 5.00 mm pitch vertical 10 pieces;2.7;0;0.02;65998;4043619659982;DeLOCK;4
994928871;Hjem & Hobby;Philips Trimmer MG7710 ;35.77;0;0;MG7710/18;8710103888048;Philips;5
994857516;Hardware;DeLOCK LTE Antenna ;12.8;0;0.15;12587;4043619125876;DeLOCK;4
994880639;Hardware;DeLOCK Sort ;28.36;0;0.1;64056;4043619640560;DeLOCK;4
994033637;Hardware;Panasonic Eneloop Pro AA type Batterier til generelt brug (genopladelige) 2450mAh;18.14;0;0;135820;5410853052579;ANSMANN-ENERGY;5
994850558;Hardware;Delock Terminal block for PCB soldering version 3 pin 5.00 mm pitch vertical 10 pieces;3.35;0;0.04;66008;4043619660087;DeLOCK;4
994741556;;Polaroid Color Film für 600 Summer Haze;15.4;0;0;004928;9120066089694;Polaroid Originals;5
993968951;;HTC Vive Pro Starter Kit;891.75;0;0;4816147;4718487713196;HTC;5
994819686;Hardware;DeLOCK Installation Tool for Stainless Steel Cable Ties Kabelbinder-installationsværktøj;60.81;0;0.65;86503;4043619865031;DeLOCK;4
994850569;Hardware;Delock Terminal block for PCB soldering version 2 pin 6.35 mm pitch vertical 10 pieces;3.2;0;0.05;66019;4043619660193;DeLOCK;4
993545643;;Pioneer MVH-S210DAB;69.15;0;0;1025886;4988028405501;Pioneer;5
994759856;;Schleich Eldrador Dracheninsel m. Schatz | 42436;15.86;0;0.34;42436;4055744030000;Schleich;5
993532539;Hjem & Hobby;Steam Cleaner Kärcher SC2 Premium Dampfreiniger (1.512-040.0);96.35;0;2.9;1.512-040.0;4054278040714;K;5
994883210;Hardware;DeLOCK 3 in 1 Monitor Adapter HDMI / DisplayPort / mini DisplayPort in to HDMI out 4K 60 Hz ;18.24;0;0.07;64059;4043619640591;DeLOCK;4
994921206;Hardware;DeLOCK Cable holder kit ;3.35;0;0.01;18294;4043619182947;DeLOCK;4
994886676;Hardware;Delock Stainless Steel Cable Ties L 400 x W 7.9 mm yellow 10 pieces;4.35;0;0.09;18791;4043619187911;DeLOCK;4
994857514;Hardware;DeLOCK LTE Antenna ;12.14;0;0.14;12585;4043619125852;DeLOCK;4
994766550;Hardware;Delock Board Holder for DIN Rail 100 cm long;26.09;0;0.67;66087;4043619660872;DeLOCK;4
994033058;;Polaroid Color Film Color Frames for 600;15.4;0;0;004672;9120066087751;Polaroid Originals;5
994850566;Hardware;Delock Terminal block for PCB soldering version 3 pin 5.00 mm pitch vertical 10 pieces;2.54;0;0.03;66016;4043619660162;DeLOCK;4
993966888;;PRO-mounts ChestHarness Mount for GoPro;10.64;0;0;PM2013GP25;5060160818339;PRO-mounts;5
993546952;Mobiler, Telefoni & Navigation;Nintendo amiibo Wolf Super Smash Bros Edition;13.41;0;0;10000427;0045496380717;Nintendo;5
993869367;;Schleich Bayala Sternschnuppen-Einhorn | 70580;6.03;0;0.8;70580;4055744029394;Schleich;5
994889055;Hardware;Delock Stainless Steel Cable Ties L 400 x W 7.9 mm black 10 pieces;4.35;0;0.09;18815;4043619188154;DeLOCK;4
994886685;Hardware;Delock Stainless Steel Cable Ties L 500 x W 7.9 mm blue 10 pieces;4.91;0;0.1;18800;4043619188000;DeLOCK;4
994886665;Hardware;Delock Stainless Steel Cable Ties L 500 x W 4.6 mm red 10 pieces;3.6;0;0.06;18780;4043619187805;DeLOCK;4
994906799;Hardware;DeLOCK for RJ45 Støvdække;2.29;0;0.02;86512;4043619865123;DeLOCK;4
